Player,ESPN_Player_ID,Representative_Team,Photo_URL,ESPN_Profile_URL
Bipul Sharma,c18496e1,Kings XI Punjab,https://a.espncdn.com/i/headshots/cricket/players/full/c18496e1.png,https://www.espncricinfo.com/cricketers/bipul-sharma-c18496e1
Brijesh Sharma,133bbd61,Rajasthan Royals,https://a.espncdn.com/i/headshots/cricket/players/full/133bbd61.png,https://www.espncricinfo.com/cricketers/brijesh-sharma-133bbd61
C Bosch,172dff15,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/172dff15.png,https://www.espncricinfo.com/cricketers/c-bosch-172dff15
C Connolly,fe366f34,Punjab Kings,https://a.espncdn.com/i/headshots/cricket/players/full/fe366f34.png,https://www.espncricinfo.com/cricketers/c-connolly-fe366f34
C Ganapathy,798934ea,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/798934ea.png,https://www.espncricinfo.com/cricketers/c-ganapathy-798934ea
C Green,eaa76d3c,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/eaa76d3c.png,https://www.espncricinfo.com/cricketers/c-green-eaa76d3c
C Madan,2eeb4370,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/2eeb4370.png,https://www.espncricinfo.com/cricketers/c-madan-2eeb4370
C Munro,af2c687b,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/af2c687b.png,https://www.espncricinfo.com/cricketers/c-munro-af2c687b
C Nanda,f24ca2ba,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/f24ca2ba.png,https://www.espncricinfo.com/cricketers/c-nanda-f24ca2ba
C Sakariya,2cdce1be,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/2cdce1be.png,https://www.espncricinfo.com/cricketers/c-sakariya-2cdce1be
C de Grandhomme,94d7f855,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/94d7f855.png,https://www.espncricinfo.com/cricketers/c-de-grandhomme-94d7f855
CA Ingram,c995d726,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/c995d726.png,https://www.espncricinfo.com/cricketers/ca-ingram-c995d726
CA Lynn,45eda7c8,Deccan Chargers,https://a.espncdn.com/i/headshots/cricket/players/full/45eda7c8.png,https://www.espncricinfo.com/cricketers/ca-lynn-45eda7c8
CA Pujara,d4f9dbd4,Kings XI Punjab,https://a.espncdn.com/i/headshots/cricket/players/full/d4f9dbd4.png,https://www.espncricinfo.com/cricketers/ca-pujara-d4f9dbd4
CH Gayle,db584dad,Kings XI Punjab,https://a.espncdn.com/i/headshots/cricket/players/full/db584dad.png,https://www.espncricinfo.com/cricketers/ch-gayle-db584dad
CH Morris,fb66ce1f,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/fb66ce1f.png,https://www.espncricinfo.com/cricketers/ch-morris-fb66ce1f
CJ Anderson,8abdf100,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/8abdf100.png,https://www.espncricinfo.com/cricketers/cj-anderson-8abdf100
CJ Dala,1cb14aa4,Delhi Daredevils,https://a.espncdn.com/i/headshots/cricket/players/full/1cb14aa4.png,https://www.espncricinfo.com/cricketers/cj-dala-1cb14aa4
CJ Ferguson,9b4935c8,Pune Warriors,https://a.espncdn.com/i/headshots/cricket/players/full/9b4935c8.png,https://www.espncricinfo.com/cricketers/cj-ferguson-9b4935c8
CJ Green,19b9f399,Kolkata Knight Riders,https://a.espncdn.com/i/headshots/cricket/players/full/19b9f399.png,https://www.espncricinfo.com/cricketers/cj-green-19b9f399
CJ Jordan,ffe699c0,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/ffe699c0.png,https://www.espncricinfo.com/cricketers/cj-jordan-ffe699c0
CJ McKay,94eac556,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/94eac556.png,https://www.espncricinfo.com/cricketers/cj-mckay-94eac556
CK Kapugedera,cfad138c,Chennai Super Kings,https://a.espncdn.com/i/headshots/cricket/players/full/cfad138c.png,https://www.espncricinfo.com/cricketers/ck-kapugedera-cfad138c
