season,batter,matches,runs,balls,fours,sixes,strike_rate
2024,UT Yadav,2,12,15,0,1,80.0
2024,V Kohli,15,741,479,62,38,154.7
2024,V Shankar,7,83,72,7,2,115.28
2024,V Viyaskanth,1,7,5,0,0,140.0
2024,VG Arora,1,1,1,0,0,100.0
2024,VR Iyer,13,370,233,35,19,158.8
2024,Vijaykumar Vyshak,2,1,3,0,0,33.33
2024,WG Jacks,8,230,130,16,18,176.92
2024,WP Saha,9,136,115,18,3,118.26
2024,Washington Sundar,1,0,1,0,0,0.0
2024,YBK Jaiswal,15,435,278,54,16,156.47
2024,Yudhvir Singh,2,21,14,1,2,150.0
2025,A Badoni,11,329,221,27,14,148.87
2025,A Kamboj,5,14,12,2,0,116.67
2025,A Manohar,5,61,61,2,4,100.0
2025,A Mhatre,7,240,127,31,11,188.98
2025,A Raghuvanshi,11,300,214,30,8,140.19
2025,AD Russell,10,167,102,16,14,163.73
2025,AK Markram,13,445,298,38,22,149.33
2025,AM Rahane,12,390,264,36,20,147.73
2025,AR Patel,11,263,167,23,15,157.49
2025,AS Roy,1,0,1,0,0,0.0
2025,Abdul Samad,12,164,93,8,14,176.34
2025,Abhishek Sharma,13,439,225,46,28,195.11
2025,Abishek Porel,13,301,205,28,12,146.83
2025,Akash Deep,2,6,2,0,1,300.0
2025,Akash Madhwal,1,4,9,0,0,44.44
2025,Aniket Verma,12,236,142,12,20,166.2
2025,Arshad Khan,4,23,19,0,3,121.05
2025,Arshdeep Singh,2,2,6,0,0,33.33
2025,Ashutosh Sharma,9,204,126,14,13,161.9
2025,Atharva Taide,1,13,9,3,0,144.44
2025,Avesh Khan,4,21,12,3,1,175.0
2025,Azmatullah Omarzai,5,57,41,6,3,139.02
2025,B Kumar,6,14,25,1,0,56.0
2025,B Sai Sudharsan,15,759,486,88,21,156.17
2025,BKG Mendis,1,20,10,1,2,200.0
2025,C Bosch,2,47,32,3,3,146.88
2025,CV Varun,1,1,1,0,0,100.0
2025,D Brevis,6,225,125,13,17,180.0
2025,D Ferreira,1,1,3,0,0,33.33
2025,D Padikkal,10,247,163,22,14,151.53
2025,DA Miller,10,153,119,13,4,128.57
2025,DJ Hooda,5,31,40,2,1,77.5
2025,DL Chahar,4,37,25,3,2,148.0
2025,DP Conway,6,156,119,17,4,131.09
2025,DS Rathi,1,1,3,0,0,33.33
2025,Dhruv Jurel,13,333,213,22,22,156.34
2025,F du Plessis,9,202,161,18,8,125.47
2025,Fazalhaq Farooqi,1,2,2,0,0,100.0
2025,G Coetzee,2,17,10,2,1,170.0
2025,GJ Maxwell,6,48,49,5,1,97.96
2025,H Klaasen,13,487,279,42,25,174.55
2025,HH Pandya,12,224,137,18,13,163.5
2025,HV Patel,4,21,26,0,0,80.77
2025,Harpreet Brar,2,11,13,0,1,84.62
2025,Harshit Rana,7,57,52,5,3,109.62
2025,Ishan Kishan,13,354,231,33,15,153.25
2025,J Fraser-McGurk,6,55,52,7,2,105.77
2025,J Overton,2,15,7,1,1,214.29
2025,JC Archer,7,63,50,3,4,126.0
2025,JC Buttler,13,538,330,52,24,163.03
2025,JG Bethell,2,67,39,9,3,171.79
2025,JJ Bumrah,1,0,1,0,0,0.0
2025,JM Bairstow,2,85,46,7,5,184.78
2025,JM Sharma,11,261,147,24,17,177.55
2025,JP Inglis,11,278,171,26,16,162.57
2025,JR Hazlewood,1,0,1,0,0,0.0
2025,K Kartikeya,2,3,5,0,0,60.0
2025,K Rabada,2,9,8,0,1,112.5
2025,KA Jamieson,2,0,5,0,0,0.0
2025,KH Pandya,7,109,85,9,4,128.24
2025,KK Ahmed,1,1,2,0,0,50.0
2025,KK Nair,8,198,114,24,10,173.68
2025,KL Rahul,13,546,363,53,21,150.41
2025,KS Rathore,1,0,5,0,0,0.0
2025,KT Maphaka,1,8,2,2,0,400.0
2025,KV Sharma,1,1,1,0,0,100.0
2025,Kuldeep Yadav,5,18,16,2,0,112.5
2025,L Ngidi,1,0,2,0,0,0.0
2025,LH Ferguson,1,4,1,1,0,400.0
2025,LS Livingstone,8,112,84,4,9,133.33
2025,M Jansen,8,75,63,3,4,119.05
2025,M Shahrukh Khan,11,179,100,11,13,179.0
2025,M Theekshana,4,10,27,0,0,37.04
2025,M Tiwari,1,3,4,0,0,75.0
2025,MA Agarwal,4,95,64,10,2,148.44
2025,MA Starc,5,6,10,0,0,60.0
2025,MJ Owen,1,0,2,0,0,0.0
2025,MJ Santner,8,40,33,2,3,121.21
2025,MK Pandey,3,92,65,5,5,141.54
2025,MM Ali,2,5,14,0,0,35.71
2025,MM Sharma,2,1,3,0,0,33.33
2025,MP Breetzke,1,14,12,1,1,116.67
2025,MP Stoinis,11,160,85,8,15,188.24
2025,MR Marsh,13,627,381,56,37,164.57
2025,MS Bhandage,1,1,4,0,0,25.0
2025,MS Dhoni,13,196,145,12,12,135.17
2025,Mohammed Shami,4,10,10,1,0,100.0
2025,Mohammed Siraj,1,3,4,0,0,75.0
2025,Musheer Khan,1,0,3,0,0,0.0
2025,Mustafizur Rahman,1,0,1,0,0,0.0
2025,N Pooran,14,524,265,45,40,197.74
2025,N Rana,11,217,134,27,9,161.94
2025,N Wadhera,15,369,251,28,21,147.01
2025,Naman Dhir,12,252,138,25,13,182.61
2025,Nithish Kumar Reddy,11,182,152,16,4,119.74
2025,Noor Ahmad,6,7,17,0,0,41.18
2025,P Simran Singh,18,599,368,63,30,162.77
2025,PD Salt,13,403,227,48,22,177.53
2025,PHKD Mendis,5,92,68,7,2,135.29
2025,PJ Cummins,9,97,58,6,7,167.24
2025,PVD Chameera,3,10,14,0,0,71.43
2025,PVSN Raju,1,1,1,0,0,100.0
2025,PWA Mulder,1,9,11,1,0,81.82
2025,PWH de Silva,5,9,15,0,0,60.0
2025,Prince Yadav,2,5,10,0,0,50.0
2025,Priyansh Arya,18,545,298,60,31,182.89
2025,Q de Kock,8,152,116,9,11,131.03
2025,R Ashwin,4,33,29,3,1,113.79
2025,R Minz,2,6,15,0,0,40.0
2025,R Parag,14,397,236,28,27,168.22
2025,R Powell,1,5,5,1,0,100.0
2025,R Ravindra,8,191,147,18,4,129.93
2025,R Sai Kishore,3,5,10,0,0,50.0
2025,R Shepherd,3,70,23,5,7,304.35
2025,R Tewatia,11,99,59,6,7,167.8
2025,RA Bawa,1,8,4,0,0,200.0
2025,RA Jadeja,14,301,222,25,10,135.59
2025,RA Tripathi,5,55,57,6,1,96.49
2025,RD Gaikwad,5,122,81,14,4,150.62
2025,RD Rickelton,14,388,255,47,17,152.16
2025,RG Sharma,15,418,279,41,22,149.82
2025,RK Singh,11,206,133,20,10,154.89
2025,RM Patidar,14,312,217,25,14,143.78
2025,RR Pant,13,269,202,23,16,133.17
2025,Rahmanullah Gurbaz,5,74,53,10,3,139.62
2025,Ramandeep Singh,7,47,35,1,4,134.29
2025,Rashid Khan,8,40,28,2,3,142.86
2025,Ravi Bishnoi,2,13,16,0,2,81.25
2025,S Dube,14,357,268,22,21,133.21
2025,SA Yadav,16,717,427,69,38,167.92
2025,SB Dubey,8,106,65,6,8,163.08
2025,SE Rutherford,11,291,184,22,18,158.15
2025,SH Johnson,2,2,4,0,0,50.0
2025,SK Rasheed,5,71,63,9,2,112.7
2025,SM Curran,5,114,82,11,4,139.02
2025,SN Thakur,5,18,12,3,0,150.0
2025,SO Hetmyer,13,245,168,18,11,145.83
2025,SP Narine,12,246,144,25,19,170.83
2025,SS Iyer,17,604,343,43,39,176.09
2025,SV Samson,9,285,201,27,13,141.79
2025,Sameer Rizvi,4,121,79,11,7,153.16
2025,Sandeep Sharma,1,6,5,0,0,120.0
2025,Sediqullah Atal,1,22,16,0,2,137.5
2025,Shahbaz Ahmed,1,9,8,1,0,112.5
2025,Shashank Singh,14,350,228,23,18,153.51
2025,Shubman Gill,15,650,414,62,24,157.0
2025,Simarjeet Singh,3,3,7,0,0,42.86
2025,Suryansh Shedge,3,7,11,0,0,63.64
2025,T Stubbs,13,306,200,25,12,153.0
2025,TA Boult,2,2,3,0,0,66.67
2025,TH David,9,187,99,16,14,188.89
2025,TM Head,12,374,226,50,15,165.49
2025,TU Deshpande,4,7,8,0,0,87.5
2025,Tilak Varma,13,343,245,23,16,140.0
2025,Urvil Patel,3,68,32,5,6,212.5
2025,V Kohli,15,657,454,66,19,144.71
2025,V Nigam,8,142,78,16,8,182.05
2025,V Shankar,5,118,90,8,3,131.11
2025,V Suryavanshi,7,252,121,18,24,208.26
2025,VG Arora,2,0,8,0,0,0.0
2025,VR Iyer,7,142,102,15,4,139.22
2025,WG Jacks,11,233,172,22,11,135.47
2025,Washington Sundar,5,133,80,10,7,166.25
2025,XC Bartlett,1,11,15,1,0,73.33
2025,YBK Jaiswal,14,559,350,60,28,159.71
2025,Yash Dayal,3,4,8,0,0,50.0
2026,A Badoni,10,215,141,23,9,152.48
2026,A Kamboj,4,58,36,3,4,161.11
2026,A Mhatre,6,201,112,20,12,179.46
2026,A Nortje,1,0,1,0,0,0.0
2026,A Raghuvanshi,12,422,287,40,19,147.04
2026,AA Kulkarni,2,17,25,1,0,68.0
2026,AF Milne,1,2,2,0,0,100.0
2026,AJ Hosein,2,5,3,0,0,166.67
2026,AK Markram,11,231,166,20,11,139.16
2026,AM Ghazanfar,1,2,3,0,0,66.67
2026,AM Rahane,14,335,248,25,18,135.08
2026,AR Patel,11,173,131,16,6,132.06
2026,AS Roy,7,52,39,3,2,133.33
2026,Abdul Samad,7,116,88,10,5,131.82
2026,Abhishek Sharma,15,563,275,50,43,204.73
2026,Abishek Porel,4,108,88,15,1,122.73
2026,Akshat Raghuwanshi,2,29,25,1,1,116.0
2026,Aniket Verma,8,79,54,6,5,146.3
2026,Arjun Tendulkar,1,5,5,0,0,100.0
2026,Arshad Khan,2,23,11,1,2,209.09
2026,Arshdeep Singh,1,1,1,0,0,100.0
2026,Ashok Sharma,2,1,4,0,0,25.0
2026,Ashutosh Sharma,8,171,92,15,12,185.87
2026,Ashwani Kumar,1,1,6,0,0,16.67
2026,Auqib Nabi,2,14,3,2,1,466.67
2026,Avesh Khan,3,6,6,1,0,100.0
2026,Azmatullah Omarzai,2,52,27,3,5,192.59
2026,B Kumar,4,34,26,3,1,130.77
2026,B Sai Sudharsan,17,722,454,75,30,159.03
2026,Brijesh Sharma,2,2,4,0,0,50.0
2026,C Bosch,4,50,31,5,2,161.29
2026,C Connolly,13,491,299,43,32,164.21
2026,C Green,14,322,220,22,17,146.36
2026,CV Varun,2,5,6,1,0,83.33
2026,D Brevis,8,151,118,8,10,127.97
2026,D Ferreira,13,317,177,26,23,179.1
2026,D Padikkal,15,464,275,49,24,168.73
2026,DA Miller,10,211,137,15,14,154.01
2026,DA Payne,1,6,5,0,0,120.0
2026,DL Chahar,4,25,19,3,1,131.58
2026,DS Rathi,2,2,5,0,0,40.0
2026,DV Malewar,2,2,5,0,0,40.0
2026,Dhruv Jurel,16,515,333,47,24,154.65
2026,E Malinga,3,7,17,0,0,41.18
2026,FH Allen,11,349,163,33,28,214.11
2026,GD Phillips,5,67,54,4,2,124.07
2026,GF Linde,3,31,21,6,0,147.62
2026,H Klaasen,15,624,390,48,31,160.0
2026,HH Pandya,10,206,149,21,7,138.26
